name,country,unit,date,value
deforestation,Panama,%,1990,-0.3587706732647481
deforestation,Panama,%,2000,-0.25708329768985216
deforestation,Panama,%,2010,-0.2638638259330544
deforestation,Panama,%,2015,-0.2671561798305279
deforestation,Papua New Guinea,%,1990,-0.03343435986250429
deforestation,Papua New Guinea,%,2000,-0.02731685372693125
deforestation,Papua New Guinea,%,2010,-0.08540892216427867
deforestation,Papua New Guinea,%,2015,-0.09307575250344073
deforestation,Paraguay,%,1990,-0.9998488991954078
deforestation,Paraguay,%,2000,-1.48810546437511
deforestation,Paraguay,%,2010,-2.1167376333723555
deforestation,Paraguay,%,2015,-1.596325263130224
deforestation,Peru,%,1990,-0.1505195521065543
deforestation,Peru,%,2000,-0.16574182815095734
deforestation,Peru,%,2010,-0.23099319647048336
deforestation,Peru,%,2015,-0.2361242021774032
deforestation,Poland,%,1990,0.1992794415672146
deforestation,Poland,%,2000,0.2980461419582736
deforestation,Poland,%,2010,0.19509057776824956
deforestation,Poland,%,2015,0.1337579617834395
deforestation,Portugal,%,2010,0.3690036900369004
deforestation,Romania,%,2000,0.2340559220860823
deforestation,Romania,%,2010,1.0621642363775905
deforestation,Romania,%,2015,0.1972189376550509
deforestation,Russia,%,2000,0.07249880602049877
deforestation,Russia,%,2010,-0.005033518349585026
deforestation,Russia,%,2015,0.00935417237932179
deforestation,San Marino,%,1990,0
deforestation,San Marino,%,2000,0
deforestation,San Marino,%,2010,0
deforestation,San Marino,%,2015,0
deforestation,Sao Tome and Principe,%,1990,-0.0511770726714432
deforestation,Sao Tome and Principe,%,2000,-0.05140507196710075
deforestation,Sao Tome and Principe,%,2010,-1.0671256454388984
deforestation,Sao Tome and Principe,%,2015,-1.1272727272727272
deforestation,Senegal,%,2010,-0.4723576314098931
deforestation,Senegal,%,2015,-0.4837835745800758
deforestation,Serbia,%,2010,0.04828603022484334
deforestation,Serbia,%,2015,0.022798057017205182
deforestation,Singapore,%,1990,1.4834794335805797
deforestation,Singapore,%,2000,0.4115226337448558
deforestation,Singapore,%,2010,-1.4092446448703495
deforestation,Singapore,%,2015,-1.0928961748633879
deforestation,Slovenia,%,2000,0.11354420113544197
deforestation,Slovenia,%,2010,0.01603849238171612
deforestation,Slovenia,%,2015,-0.1626602564102564
deforestation,Somalia,%,1990,-0.9266525807425294
deforestation,Somalia,%,2000,-1.021290751829674
deforestation,Somalia,%,2010,-1.1374583178955169
deforestation,Somalia,%,2015,-1.206049891966215
deforestation,South Africa,%,1990,-0.20063840494672874
deforestation,South Africa,%,2000,-0.20474640414127715
deforestation,South Africa,%,2010,-0.2090261391781024
deforestation,South Africa,%,2015,-0.21123380855137133
deforestation,South Korea,%,1990,-0.11448633796366968
deforestation,South Korea,%,2000,-0.13743051266213713
deforestation,South Korea,%,2010,-0.1565680288085173
deforestation,South Korea,%,2015,-0.15780337699226762
deforestation,Spain,%,2000,0.8490733260285962
deforestation,Spain,%,2010,0.006308862495915416
deforestation,Spain,%,2015,0.02264006925704996
deforestation,Sudan,%,2015,-0.8853754282290459
deforestation,Suriname,%,1990,-0.023930865809620862
deforestation,Suriname,%,2000,-0.026725994027718115
deforestation,Suriname,%,2010,-0.0630071124833822
deforestation,Suriname,%,2015,-0.07264778217729599
deforestation,Sweden,%,1990,0.03563410896910522
deforestation,Sweden,%,2000,-0.03195682278166389
deforestation,Sweden,%,2010,-0.06625583300680367
deforestation,Sweden,%,2015,0
deforestation,Switzerland,%,1990,0.3701777199826614
deforestation,Switzerland,%,2000,0.32185791436071504
deforestation,Switzerland,%,2010,0.2786056757807438
deforestation,Switzerland,%,2015,0.27478013595226497
deforestation,Syria,%,1990,1.6125564394753815
deforestation,Syria,%,2000,1.127106091464543
deforestation,Syria,%,2010,0.7214274101772071
deforestation,Tanzania,%,1990,-0.6481964369757035
deforestation,Tanzania,%,2000,-0.6931245214972012
deforestation,Tanzania,%,2010,-0.7447445956467276
deforestation,Tanzania,%,2015,-0.975254730713246
deforestation,Thailand,%,1990,-0.1874903155828728
deforestation,Thailand,%,2000,0.5658490367407095
deforestation,Thailand,%,2010,-0.011956359288596652
deforestation,Thailand,%,2015,-0.1874283435521659
deforestation,Togo,%,1990,-0.6844586754402715
deforestation,Togo,%,2000,-0.23335383062926696
deforestation,Togo,%,2010,-0.23892740965557324
deforestation,Togo,%,2015,-0.2418162359995752
deforestation,Tunisia,%,1990,0.3711295381844156
deforestation,Tunisia,%,2000,0.29347907464250955
deforestation,Tunisia,%,2010,0.22256811602635912
deforestation,Tunisia,%,2015,0.2201185475053232
deforestation,Turkey,%,1990,0.18444682128725584
deforestation,Turkey,%,2000,0.4639089553238852
deforestation,Turkey,%,2010,0.5190892412304084
deforestation,Turkey,%,2015,0.5455772689236857
deforestation,Uganda,%,1990,-1.1536944793271935
deforestation,Uganda,%,2000,-1.3041622535923745
deforestation,Uganda,%,2010,-1.499770944073996
deforestation,Uganda,%,2015,-1.621360291805547
deforestation,Ukraine,%,2000,0.039957939011566766
deforestation,Ukraine,%,2010,0.2283200670297445
deforestation,Ukraine,%,2015,0.06834420627524078
deforestation,United Kingdom,%,2000,0.35545023696682465
deforestation,United Kingdom,%,2010,0.6276560967636483
deforestation,United States,%,1990,0.03590676144817325
deforestation,United States,%,2000,0.17078699066996994
deforestation,United States,%,2010,0.08907748121274943
deforestation,Uruguay,%,2000,2.64645726807889
deforestation,Uruguay,%,2010,2.1798648414486226
deforestation,Uzbekistan,%,2000,1.3105022522674628
deforestation,Uzbekistan,%,2010,1.1929782660616193
deforestation,Uzbekistan,%,2015,0.7902744125767737
deforestation,Venezuela,%,1990,-0.5526083112290009
deforestation,Venezuela,%,2000,-0.334886370572318
deforestation,Venezuela,%,2010,-0.3460688348594885
